ID,post_title,post_excerpt,post_status,post_date,post_author,discount_type,coupon_amount,individual_use,product_ids,product_SKUs,exclude_product_ids,exclude_product_SKUs,usage_count,usage_limit,usage_limit_per_user,limit_usage_to_x_items,date_expires,free_shipping,exclude_sale_items,product_categories,exclude_product_categories,minimum_amount,maximum_amount,customer_email
52650,FLASH50,,publish,"2025-08-15 13:50:17",236945234,percent,50,no,,,,,0,0,0,0,2025-08-18,no,no,,,,,
52932,FIZIC30,"30% OFF — Orgonite, Radiesthesia Pendulums & Jewelry -From today until August 31, 2025.
Free shipping in Romania on orders over €100. Simonne Elle – Surya Center · Shop now",publish,"2025-08-18 13:07:17",236945234,percent,30,yes,,,,,0,0,0,0,2025-09-01,no,no,"Deco -Handmade,Mystical Pyramid,Orgone decorations,radiesthesia pendulums",,,,
54461,CRYSTAL30,"🌸✨ Special Discounts for St. Mary’s and St. Anne’s Feast Days! ✨🌸

To celebrate these special days, we are offering exclusive discounts on crystal jewelry and unique handmade pieces.
💎 Find the perfect gift for yourself or a loved one – now at a special price!

📌 Offer available for a limited time only.
Don’t miss out on this opportunity! 🌟",publish,"2025-09-08 09:19:11",236945234,percent,30,yes,,,,,0,0,0,0,2025-09-10,no,yes,"Colaborari,Deco -Handmade,FIZIC","All Attunements,Courses,Workshops",,,
55300,COLAB25,"Ofertă specială – 25% reducere

În perioada 22.09 – 30.09.2025, beneficiezi de 25% reducere la:

ședințele de Hipnoză Regressivă

analizele de Numerologie

Aplică codul COLAB25 și profită de această oportunitate de autocunoaștere și echilibru.
",publish,"2025-09-22 15:20:59",236945234,percent,25,yes,53630|53640,,,,0,0,0,0,2025-10-01,no,yes,Colaborari,"All Attunements,Attunements included in courses,Collections,Courses,Deco -Handmade,FIZIC,Orgone decorations",,,
